Time - Pre2	TTL signal - Pre2	Time - Pre	TTL signal - Pre	
1.58438	-2.14797	2.00469	22.204	
1.58594	9.29953	2.00625	25.9504	
1.5875	-9.64087	2.00781	38.4386	
1.58906	0.765941	2.00937	54.6732	
1.59063	-5.89442	2.01094	41.7688	
1.59219	7.63444	2.0125	48.8454	
1.59375	29.905	2.01406	46.1396	
1.59531	-7.14324	2.01563	34.0677	
1.59688	-20.464	2.01719	29.4887	
1.59844	0.349669	2.01875	40.1037	
1.6	21.5796	2.02031	49.4698	
1.60156	12.4216	2.02188	41.9769	
1.60313	-18.3826	2.02344	15.5436	
1.60469	12.6297	2.025	23.2447	
2.21563	17.0006	2.63594	62.1661	
2.21719	29.6969	2.6375	21.1633	
2.21875	12.8378	2.63906	41.7688	
2.22031	7.84257	2.64063	63.2068	
2.22188	12.8378	2.64219	42.8095	
2.22344	6.80189	2.64375	59.8766	
2.225	0.557805	2.64531	29.6969	
2.22656	8.05071	2.64688	30.7376	
2.22812	30.1132	2.64844	30.5294	
2.22969	48.4291	2.65	21.7877	
2.23125	7.84257	2.65156	39.8956	
2.23281	21.5796	2.65313	59.2522	
2.23438	20.3307	2.65469	14.7111	
2.23594	11.7972	2.65625	6.38562	
2.2375	-9.64087	2.65781	11.589	
2.23906	25.7423	2.65938	31.362	
2.24063	3.05544	2.66094	34.0677	
2.24219	9.92394	2.6625	34.9003	
2.24375	-25.8755	2.66406	43.8501	
2.24531	2.22289	2.66563	24.9097	
2.24688	17.8331	2.66719	57.5871	
2.24844	18.8738	2.66875	69.0346	
2.25	13.2541	2.67031	18.6657	
2.25156	16.168	2.67188	43.4339	
2.25313	29.4887	2.67344	26.5748	
2.25469	33.4433	2.675	40.52	
2.25625	20.747	2.67656	29.4887	
2.25781	28.4481	2.67813	49.8861	
2.25937	20.1226	2.67969	55.922	
2.26094	24.9097	2.68125	44.0583	
2.2625	-1.73169	2.68281	43.642	
2.26406	16.5843	2.68438	45.7234	
2.26563	13.8785	2.68594	34.9003	
2.26719	22.6202	2.6875	35.1084	
2.26875	27.4074	2.68906	27.8237	
2.27031	16.7924	2.69063	38.8549	
2.27188	39.2711	2.69219	51.9675	
2.27344	21.5796	2.69375	53.2163	
2.275	-6.51883	2.69531	51.1349	
2.27656	5.1368	2.69688	54.6732	
2.27813	24.0772	2.69844	26.1586	
2.27969	15.9599	2.7	65.4963	
2.28125	40.9362	2.70156	29.6969	
2.28281	6.59376	2.70313	23.8691	
2.28438	12.6297	2.70469	33.4433	
2.28594	4.92867	2.70625	49.4698	
2.2875	22.204	2.70781	44.0583	
2.28906	39.2711	2.70938	59.0441	
2.29062	-11.0978	2.71094	22.8284	
2.29219	10.1321	2.7125	30.5294	
2.29375	-0.0666036	2.71406	44.8908	
2.29531	-1.52356	2.71563	28.2399	
2.29688	19.4982	2.71719	56.3383	
2.29844	38.2305	2.71875	39.6874	
2.3	0.765941	2.72031	67.7858	
2.30156	18.2494	2.72188	40.1037	
2.30313	4.72053	2.72344	42.8095	
2.30469	24.2853	2.725	55.5058	
2.30625	18.2494	2.72656	71.7404	
2.30781	32.1945	2.72813	47.3885	
2.30938	-5.89442	2.72969	46.1396	
2.31094	-7.55951	2.73125	38.6467	
2.3125	9.7158	2.73281	71.116	
2.31406	12.4216	2.73438	50.9268	
2.31563	2.01476	2.73594	51.5512	
2.31719	-27.9569	2.7375	54.0488	
2.31875	-13.3873	2.73906	42.8095	
2.32031	13.6704	2.74063	49.8861	
2.32187	3.47171	2.74219	61.1254	
2.32344	15.5436	2.74375	40.3118	
2.325	5.96935	2.74531	32.8189	
2.32656	4.09612	2.74688	25.5342	
2.32813	-0.27474	2.74844	46.3478	
2.32969	27.1992	2.75	52.1756	
2.33125	14.2948	2.75156	39.2711	
2.33281	3.47171	2.75313	30.7376	
2.33438	3.26358	2.75469	37.1898	
2.33594	-12.1385	2.75625	46.764	
2.3375	-12.9711	2.75781	24.4935	
2.33906	-4.6456	2.75938	16.7924	
2.34063	14.0867	2.76094	35.1084	
2.34219	0.349669	2.7625	9.50766	
2.34375	-4.6456	2.76406	40.3118	
2.34531	-14.6361	2.76563	31.5701	
2.34688	-15.4687	2.76719	34.0677	
2.34844	3.05544	2.76875	6.80189	
2.35	-11.5141	2.77031	47.3885	
2.35156	-32.3277	2.77188	47.3885	
2.35312	-7.35137	2.77344	24.4935	
2.35469	11.1728	2.775	38.8549	
2.35625	-25.6674	2.77656	73.4055	
2.35781	-27.9569	2.77813	39.2711	
2.35938	-6.31069	2.77969	50.7186	
2.36094	1.18221	2.78125	44.2664	
2.3625	2.63917	2.78281	44.0583	
2.36406	-5.27001	2.78438	40.7281	
2.36563	-10.2653	2.78594	52.8	
2.36719	-14.0117	2.7875	37.8142	
2.36875	7.4263	2.78906	44.8908	
2.37031	12.8378	2.79063	55.922	
2.37188	9.50766	2.79219	62.5824	
